album_id,album_popularity
3klUxAiJUGjtLAe2ZAL5ym,19
7hshkVFJf01gvlCi9YcYqv,39
72H8cpW6whqogljyw6ZFJA,24
2AtPEetSZOglaAP9KPVt1i,32
7qgyzRIP10SHfnPGlEL47M,37
02YZvXUwPEvxb0YLdI7oEk,38
6WqDlSi0CRDZWTFjPNxtrI,35
77Y8CNKqMSmySV4Ja8qHaO,56
611LjdYsQvGXLI0pCOrmZk,35
51heTwkSfb4Z5dRIgwU2bd,45
7coOKcB1fDcYvLG1OTv4Dz,42
12kK92fy0HmlqP9ZV8W23w,44
2LVDNOUUy2g8517ZEtQIcK,71
79YdrZXt6tBDj4i0Y4gCJS,35
48mSkcRUZ3yUqbiC2QPE3E,38
0noR7T69B8RDZ71B5VIIrt,30
4YKWpDwRnENw1rq4TdEf7Z,37
3HfF5JwfEDokXfW3NvY7Cs,35
5WupqgR68HfuHt3BMJtgun,71
5u5AXYtYIxnIs4S7K3xHAN,40
1vgbn8ng9vcpcEM2k8omzT,0
1NZfXehwnpGrl6kpDMdozz,39
2pIpBDT8RtmJ5Vhb86BOcd,60
2wFXfMp1SeFS8SevNCElYv,0
30Z8iNjcWHyF1DvcXfi4CN,30
7L7QkmT3PIgU37NKAO6xnQ,29
7sHrPadM39466NY7DW3s4r,50
5AQdhXDCLTUZNHYH1hMIdF,55
5pYyzn5NVbi1na3l6Pw75O,47
7udRpnIdi1SS0oaLFsVwrD,45
3pZVniVesQZxr5kj2xvUSz,32
75crQPGL05o3k5coTV5ivE,17
1WPSvjKzgjyse929PO9g6i,2
5k3SJlcTe5aDF7gDkcBnOL,58
3arNdjotCvtiiLFfjKngMc,74
2N22LyYFi5n5K4wNK99gOP,26
1XGw3V0TdlUlEtEsyTP2CI,6
3T7bNNnQ5b8BgsaF43jGku,52
4fnmyznELge41MnyNpUp78,50
6CJgkqgVCMBXK2UDiNWdnY,8
21Z00Rt15tDCUM4mStVNKI,46
0uXg9mAgLJmYziutxZ6MJQ,33
63FlYaIy0oT8gYdCxBqBNe,40
6zPGFGI2VVFGbiGTlsI237,28
4YBGGd7KYurLSbc6XKDnSO,47
7m2yEFYxnjmEyq7IXa9sXp,53
1V6nmlYGcUbCOfzfhofGPI,47
1duYR1BKAr0ZNX35kEnk9Y,31
2snIy07hupBGM5rLYtgImH,48
1bx7sNUpVB9fQ7QhcVZsUV,39
7oIv9TqSXEgFAhv230Kblc,24
3ikMmpjQ8lDqeDPwChZTSM,40
7nTPxuwbQopaWk6UBAcMrT,7
2CRK0m8Xbtol47aceC4zXq,0
4gzxCLUSK6zyNNOeu8pJlm,20
2wdHHEDHe9dw71xVl1EgJZ,43
5Sy2HSW8tHKGLKUsnhf9nT,29
1vGI90FqQestc7Zw6SCVg1,45
76fF3MnSilSrvfW1fAWHAZ,47
2coXvs2zYk60U9Dd2hm6St,54
7IWPPkijopGVrwWXRbmQKx,45
77Qcn4aTbV27aarq2CHrGb,43
70kpGi2o0I7NY4DfwIN2p0,4
5kwNgeGJaXdRqbH3gTdHrT,0
24GbGX038jKJdzZ0KGAIxW,55
2nBnaZl4NHAOZWjB1V5GbS,37
2rZ5v2jZlai7Us2ZPhKvRl,1
0GtP5C0gsYAVubcDHkCpai,30
28FKHnqadeA4C9NhXaQnaY,30
6ggoVHjrshZtOhuEpHjOXN,31
68eenCTSYqlwSBe80ZEIFE,48
1Cog6aZ6NwnJiuINc0LQEU,39
4wsyyLWO72hZ39U6hrl31A,46
6N4Rt0WZfDHj0PKUZllzIt,6
73USNxSgFncLAsOAWfIA4J,42
4zyqNfmTrnvUejh8M1IEh9,56
6DBqCOLm27Or3TViHbsM48,5
0vLJbkcXDXkSar4Hmzn7kX,0
7aPolrSqVawIhC7iTo2b5F,64
7cdtA63N0AxdTjubtX6h38,16
6ga3txioAOf3rqEUtbzSZW,6
151mT9g0fDHVfpmWeYk4Wx,46
7FuXUobpTFPSCldrdU1jaL,27
6TgkNOiJxeSkVVbXV720B1,63
6WgGWYw6XXQyLTsWt7tXky,65
08tZq3FDsspdU6ycn8Jl2o,44
4GSRnVeNR3fi5XeUxX6Lqp,16
6hXXKsVVTfDbRTEuHaInI5,44
0ig3OpdRZHL83s6FSctZ7u,7
4UqQPjkCRNr1VDqqHnMTQ5,19
6rzMufuu8sLkIizM4q9c7J,73
1p6cWoueuunhpgy6131zAd,55
0bZtJTjE90SXIW0PIChpnl,0
6LJLRmAT69fL7I9Rf8hjcb,44
5fMlysqhFE0itGn4KezMBW,56
4tUVkNYSFrrEqqrxBQW9PN,49
7J84ixPVFehy6FcLk8rhk3,57
1WiKAuQmbYIxDv2UzMwrBq,44
3MgxYZnMKKAZ0FpWIshRXA,16
3MAaPc41qaOS2b1fvQbihk,38
1ZxHhvsejg9L13FVHrt70H,32
4U5EhQq161gJSUVFaEgrGA,37
5vM1xheXmpSdP2x2MeL3oF,30
4TGvBVWFdYgARvdajEfAkU,45
4EbDqql0TmQPSDaSgDnoEZ,0
5AHWNPo3gllDmixgAoFru4,66
5hhiFP1t4UhkI0JL397ogf,25
0FpoXXhnwamDJbLSWLRgvN,47
0dEWqk9rBnxsDMccGmZRQs,15
5EBEl5i1bxnwhf3r6gDiJF,18
0sFuW4rH5mFZUjNKnckO3v,62
6N8uPmDqbgXD3ztkCCfxoo,75
6he529CzIcZCnJnakpynUP,7
2VXkgdiXFunIO581a4vqcR,51
7bvmGyFDwpHNRRRZJ0AHvn,58
4h9EUsDMvwsUdmXEvK449j,39
5J9PhCTsvguuCAEMnxlagY,33
58scwsBZ5OGrW09m0LyPfz,27
7BgZb2snTbs5xpRHlQ8VYt,32
3xjBSN9UBdB5E1x7CBXUbg,13
5s6aGKI2wpPxegrhLXmGIG,37
2jKzkqQ2Dkam6bKbzUuegq,25
3GWAJo3AAQVbQjaBVgEVcn,12
3xTy5AFpBDL2qzWoZrNtgz,15
454VGat5iW01CvFYy8FCIZ,48
5u8ri4s76Ew14IwGOJf5hI,50
5EJAJsaHhQYLwVbynpcGkD,43
4Mft3FkYzPHdWTmRW0yS1U,38
10jKkqtTI0cblOQjJfDUpt,49
1VGvTFoXV0nWpXxz48Fvve,29
4Ys4Dxj8SKCEJEmYmmvfOE,45
6qIwfra0xlNj26wO5QBF3z,16
0IowWSGO7Wqot7FFmiDaqy,23
6Y2VniWR6cKbJ7IQwp0hdS,30
6WgLRmwO5Kljv9GjDiRHnV,0
45CvmoLWs7OKLnWr5kBR9s,5
3Xyo7AYdvwrCQlva750d2Z,29
54MivY4zY3K4xuS3z4iNB8,17
30UnEiQmLQDIQWQ4M2mtXe,10
4gJhrwfEEdIkA5ZPjkD9bG,16
4S5ulqHSWPnv2wS2BRptMY,7
0XbTPVOgyUufGk328p2oeO,14
5Fd4kvA2SC7lGl3MR8kd80,0
4ZEbJk4ytV7Y9BAJm7pqqd,36
17nT2QOQmMPEETOsNDK1Bp,39
1qSGvtNStL6ELifn51W1va,21
0ek3Sau5tGwOmwQFAzrx1M,36
30ly6F6Xl0TKmyBCU50Khv,75
4IgOdmQIePsO2r4BcbiQ74,29
2WhtBcrSznou12dcd4YPnq,21
1jQ8H7Cx5f1D3MbmloYas7,19
2e7LQqvJdInqGHnjEIsAaJ,25
7oKlNm85XiihyYEayGuWQi,19
1LkHkL1oSK6BvhDe76pLx8,5
0cmEfkFvLVgKhLIUgGhRG5,39
3OgGt3eggGOf2pXlcqNHxm,21
18EmUT6HUFTWIWhYdtjxkJ,18
0h75o5T2hxWKC8a5167tLg,26
0xteUxQ7OUNh6WsGMpTgoZ,0
71W9z9hP84oB6zVmQdRrXW,22
7GLlgqPRsfhdQI62aIxIgI,8
53JK9SLZCpbiCzNfcEGgHa,27
1O5WUh9KsgHT2QaUCJeVPG,39
5wKXfInna4rPKYVhdiSgQA,41
7DtNIDD8b1fN9YO8abZgtT,26
6tGoTJl7ysugDBMNCShHtL,18
3D7BbNf0UCwSPHNkUC9ize,33
0BMnEJgFLGv9lzu6tfH1mW,5
4yWVT9lEftVwrGYP4wj6lw,47
57263zG8Md6XZ9lBUPPYCm,55
2dJCC5WZDKqQbXmUJeLe9Z,69
4IwODpNZKFYkHWXSeWMGmP,57
79ONNoS4M9tfIA1mYLBYVX,80
2itVxfPOWQrHr2X27J4ZhG,53
4UlGauD7ROb3YbVOFMgW5u,81
6C9WzlQANeoD0GW5B41YJt,62
1XFH6BXEGLlWiDJAoEonMV,0
1xiNidE81opErvD3TrLxQ2,46
62aU3aPAzizvBjmfD88lu6,10
4fJ9MKxJKIb7sQaSz6LkvY,14
1aA9qnJT9NtySZA16RHkCD,28
5wuxthfn38zXXuN8RlzOy9,41
3qRFE4H8j6TDlvGr29FfTN,17
6ZPtCSc80tQNjz0pQlomuy,7
2IbvLEWok7hbkf5BBZaYBg,47
5So0sPYfpNBhyNpvQOjnVi,11
5YOlo3YMHhrPThneXtKKeT,5
1wn9NSJlxVz1nSlkQsP7QJ,36
7AFsTiojVaB2I58oZ1tMRg,62
2fNMMkFqA33123gVSetOSU,6
0Ta5KqbhqsFUBI5MfU00Qu,12
4hofhgHoBQXquGsuaELmx4,33
0HNfg7Xi8WFH6Hmt002eOG,0
2pAXyc02IaCw8JOPjoDVLM,0
1rDjHlur6uZheIHpBdmLEF,31
3m0rxncdPUMU6tFcjcmizW,0
6kOLMQtok9ETuuNCN6LByQ,40
6WMl9fsVTQ65eSTe2Neqev,0
4Ju4z6OA25j2MuR94WgwgJ,0
5sJJC4UoKTfJaW0jO6YYCG,19
6nuNgD841boUffjDiI8et4,55
19CdRE2crueB37VIhTg7W0,41
2sX5EyFBtC1m0t2aSQlVZQ,9
3F68GXqZpnKrix6HwKUUEY,12
6RbXG3sJacB49swv3HliOg,11
3o556UhgSdM9OSs4SpWlCQ,13
0unsYxXMMsYMQB0epWjPu0,46
2G549zeda2XNICgLmU0pNW,56
2rmPnKM3T64J7Xz5TEyR0c,44
0e59aDltSERCndLyQwiBlb,19
4NNq2vwTapv4fSJcrZbPH7,76
3hD7HAJtGLF5BYDriRwbkZ,34
7Amrg2WughWQXMEmUfjhl3,38
4Y5HddfFNFopRAhEbXuUe7,9
7AGOQzjucZUSYpaojAG0HY,0
3bYMVNcOHLDv2z6yWEl3yb,38
2lREW5Vbyy6CiNwkN6JtS4,39
755yBlrk0Sz8tIgMMTgyr1,52
07nBld9enf1PyRysZAVSqJ,60
5uRdvUR7xCnHmUW8n64n9y,62
293fiOBI8WMvN9M9X3qv9T,3
2noRn2Aes5aoNVsU6iWThc,71
78C99zbd0p19B2OmCKVbaN,30
5ozbzIBv2PnIHz5Pgv5xfk,6
6088Sj5rAfVFzUxPKDq6jm,17
6o86bV7TAt5x4exc2qLDqC,68
3iDLGLmecmdkmdxYmuol5d,54
7xni0tZQ8q2rTHkIeBYr1Y,47
4RRWbTmBBpmf43GbLEtlTR,31
3eHNdHMGISbfsjN9J4USOm,31
28ajXoSpiEOh1W4neVxxgS,34
0GJH6shkenNdqkpGdsY8aa,44
0aA9rYw8PEv9G7tVIJ9dKg,57
0WHck9IyWpYptoKg5TAOIR,27
6w9GKo3Bv9sFhqc6Y6whUY,27
0GY2LOgXecSnpqFTLxnmhb,11
3Te13135lGvz8hu0RxdLwS,8
0IkcCe8wwQG6O0PPHmlwkG,20
079AdoqJO9xYz56hQPb6pz,28
4e1bF5FHt0n07req9vRSQn,6
3GBQpPkLUd80uoyhX6AcUI,0
1R8kkopLT4IAxzMMkjic6X,53
4plYYFtWKeIWuaeVIiTyPy,13
6JrMtInqTjYhtCa5AishTs,13
2ySnEU3lrXnJtFTcNCtpNF,8
4l8HTiPwY1GrY3WNUNOZ8q,32
7jbQpUfZHTOyTHuNpU0sUN,13
4Y0VNFTBjcCBcrJpsg6LNA,20
5OoEG2axfMGY44nUNMayoW,46
5TRfUURPGPaoAl7lq7NB0W,0
1tCAbCRfFmq6SJjklzryDI,36
71iqkeqFNSiCgum1gPfeZo,44
1QsB3EL5GlJ3MKP4LOZ2p8,7
3krmis8XpyRrEGKQ4LXRf4,32
1xjT09AnRtNpNUTI0vOGEi,33
4Fd7lUvMzc0HFeaseDZaO3,0
0VJv3jujrhYMsfiTO9F3cb,12
0URZfqUQlB4JreGiq1KiK9,44
4dVxavcdnxTHyrM4U5U0kD,27
5atrOg1aO4d5KEcYo4UBIA,41
54HlnxJS63kUPHH144QsDk,26
0SFtIrRytNI4kcf93Tbhdf,61
476NL3NiMsw9ptdw9j7oYd,0
2d10S3TzEDbCwxnTSZH1Bq,36
1WShc5v8qHQF0uPMs7FOdU,27
4wlCSu49JOHgOT4xAPlLto,16
74OvK12g3Vsc3cfksBoX7C,27
3AvlpYPO9aRazYSvQh3mvz,14
1VKmlsq627xxebmf53jHME,39
5iup1pzVHKxaIArnwIAYiV,18
1wxMJqso7xfb7IoGIzuz4B,14
565EdGwHonCa2Gg0s1BZye,0
2aApNIlo8yWlCk6x899rhY,30
7nds0PbTtOhcBjfky7FmDz,5
5D4DjxpROByDBBVtZyyA5R,29
4UcpKa4yD9AA3iEHI8MFSF,51
2zQJvUy9Cw6BGlYBBL4f8X,36
