danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.736,0.603,9,-7.763,0,0.0276,0.79,0.509,0.141,0.187,123.957,audio_features,1dN55SR4aP4EpGdYcQpPb3,spotify:track:1dN55SR4aP4EpGdYcQpPb3,https://api.spotify.com/v1/tracks/1dN55SR4aP4EpGdYcQpPb3,https://api.spotify.com/v1/audio-analysis/1dN55SR4aP4EpGdYcQpPb3,174579,4
0.652,0.877,6,-6.281,0,0.0339,0.00307,0.699,0.186,0.562,124.024,audio_features,3CqaTHbiU2nBy3Ar9RnDHN,spotify:track:3CqaTHbiU2nBy3Ar9RnDHN,https://api.spotify.com/v1/tracks/3CqaTHbiU2nBy3Ar9RnDHN,https://api.spotify.com/v1/audio-analysis/3CqaTHbiU2nBy3Ar9RnDHN,222316,4
0.784,0.402,9,-9.719,0,0.324,0.0287,0.0071,0.0963,0.402,166.678,audio_features,1BSq0hYijZbubyR6waNyQn,spotify:track:1BSq0hYijZbubyR6waNyQn,https://api.spotify.com/v1/tracks/1BSq0hYijZbubyR6waNyQn,https://api.spotify.com/v1/audio-analysis/1BSq0hYijZbubyR6waNyQn,335800,4
0.804,0.831,0,-5.855,1,0.154,0.00617,0.836,0.0256,0.397,135.994,audio_features,6ztI9zfPNMhocBJcXbeEqt,spotify:track:6ztI9zfPNMhocBJcXbeEqt,https://api.spotify.com/v1/tracks/6ztI9zfPNMhocBJcXbeEqt,https://api.spotify.com/v1/audio-analysis/6ztI9zfPNMhocBJcXbeEqt,262827,4
0.341,0.95,5,-6.917,1,0.154,3.73e-05,0.834,0.764,0.0444,101.742,audio_features,12H4IBjcRTBmvJwBpwEr9g,spotify:track:12H4IBjcRTBmvJwBpwEr9g,https://api.spotify.com/v1/tracks/12H4IBjcRTBmvJwBpwEr9g,https://api.spotify.com/v1/audio-analysis/12H4IBjcRTBmvJwBpwEr9g,279733,3
0.406,0.188,7,-13.039,1,0.0324,0.852,0.0,0.105,0.629,120.757,audio_features,3D8dwH690MXQRhtIZTSS9c,spotify:track:3D8dwH690MXQRhtIZTSS9c,https://api.spotify.com/v1/tracks/3D8dwH690MXQRhtIZTSS9c,https://api.spotify.com/v1/audio-analysis/3D8dwH690MXQRhtIZTSS9c,245533,4
0.512,0.808,5,-6.871,1,0.355,0.394,0.0,0.109,0.627,153.845,audio_features,0NXRZaUn11do0EzDFlXkbj,spotify:track:0NXRZaUn11do0EzDFlXkbj,https://api.spotify.com/v1/tracks/0NXRZaUn11do0EzDFlXkbj,https://api.spotify.com/v1/audio-analysis/0NXRZaUn11do0EzDFlXkbj,354773,4
0.545,0.779,3,-6.235,0,0.0751,0.243,1.66e-06,0.123,0.303,150.002,audio_features,1DmW5Ep6ywYwxc2HMT5BG6,spotify:track:1DmW5Ep6ywYwxc2HMT5BG6,https://api.spotify.com/v1/tracks/1DmW5Ep6ywYwxc2HMT5BG6,https://api.spotify.com/v1/audio-analysis/1DmW5Ep6ywYwxc2HMT5BG6,183375,4
0.835,0.765,7,-5.367,1,0.0407,0.00777,0.626,0.0581,0.62,124.003,audio_features,6GQUEgnSqZRZLtUQXhfm2f,spotify:track:6GQUEgnSqZRZLtUQXhfm2f,https://api.spotify.com/v1/tracks/6GQUEgnSqZRZLtUQXhfm2f,https://api.spotify.com/v1/audio-analysis/6GQUEgnSqZRZLtUQXhfm2f,191613,4
0.756,0.921,1,-7.725,1,0.0657,0.000372,0.633,0.228,0.962,125.02,audio_features,6dzz2MQb0JfpkWxbhMozPV,spotify:track:6dzz2MQb0JfpkWxbhMozPV,https://api.spotify.com/v1/tracks/6dzz2MQb0JfpkWxbhMozPV,https://api.spotify.com/v1/audio-analysis/6dzz2MQb0JfpkWxbhMozPV,375315,4
