artist_id,artist_popularity,artist_genres
4s8ZGMVf3OiPktSP4ulpqU,52,"['alternative hip hop', 'hip hop', 'instrumental hip hop', 'north carolina hip hop']"
0IVcLMMbm05VIjnzPkGCyp,54,"['alternative hip hop', 'detroit hip hop', 'hip hop', 'instrumental hip hop']"
20qISvAhX20dpIbOOzGK3q,70,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
2a0uxJgbvvIRI4GX8pYfcr,63,"['afroswing', 'grime', 'uk hip hop']"
3P1ULKxhVEpywj0hogWT44,41,"['alternative hip hop', 'jazz rap']"
17Zu03OgBVxgLxWmRUyNOJ,56,"['abstract beats', 'alternative hip hop', 'indie soul', 'instrumental hip hop', 'wonky']"
5LhTec3c7dcqBvpLRWbMcf,65,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'instrumental hip hop', 'psychedelic hip hop']"
7mrvU3OShTgthJV80o2day,37,"['japanese boom bap', 'japanese underground rap', 'scratch', 'turntablism']"
0ud7Vcl9BBEoOVwoWDqXIH,26,[]
2n6FviARgtjjimZXu18uRM,55,"['dance-punk', 'queercore', 'riot grrrl']"
13ubrt8QOOCPljQ2FL1Kca,81,"['east coast hip hop', 'hip hop', 'rap']"
6nxWCVXbOlEVRexSbLsTer,68,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']"
79CcwQyVLb6A4AHul0WNEw,31,"['classic portuguese pop', 'portuguese pop']"
6QsxKDNLJbtYqxb2wRmsu1,49,[]
7BMR0fwtEvzGtK4rNGdoiQ,57,['modern jungle']
3bWuJAAUsvSiavkQHpOlLl,22,"['easy listening', 'exotica']"
0NeC6ploeJUq8oDwYQjNPS,47,['eurodance']
4mBxoO0pAcMbAwuTcrcLMc,59,"['filmi', 'modern bollywood']"
0A0yu52zNGKe2rtr9wHfkD,33,[]
0NkmvuSD5Pm8zucjwIpChS,48,['french pop']
4KDUfOJRuihzpcwO7jx9DF,27,['arab groove']
2t9efDsc10DtZpi4LP3BJJ,46,"['eurodance', 'german techno']"
63velvOpFlehUqudZ7WMBh,17,[]
4Q3A7ukbHFR5xThu9hZDZt,34,['experimental indie']
4J29rwF7Lcqch3IyOubvxC,22,"['indie jazz', 'jazz house']"
4WjyuUryzJgs8GukH5BZjs,15,[]
21StrITbN3uLjv5OdsLAja,32,[]
